Buffalo,Present,Buffalo_Purchase_Date,Buffalo_Died,Buffalo_Sold_Date,Buffalo_Sold,Fresh_Buffalo / Calved_Buffalo,Reminder,Pregnancy,Test,In_Doubt,Empty_Days,Empty,OK,Pregnancy_Month,पड़ा,Doctor_Name,Month,Medicine,Calf_Born,Calf_Born Reminder,Dry_Period,Care,Calving,Days_Until_Calving,Age_in_Months,Age_in_Days,Milk_Production_Started,Milk_Production_per_Month_(Liters),Daily_Milk_Production_Morning_(Liters),Daily_Milk_Production_Evening(Liters),Total_Milk,Pregnancy_2,Empty_Buffalo_Reminder
262.0,p,2022-08-06 00:00:00,,,,2023-11-21 00:00:00,2024-01-21 00:00:00,,,,930.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
263.0,p,2023-08-22 00:00:00,,,,2023-08-22 00:00:00,2023-10-22 00:00:00,,,,1021.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
264.0,p,,,,,2024-04-08 00:00:00,2024-06-08 00:00:00,,,,791.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
265.0,A,2022-12-11 00:00:00,,2024-03-10 00:00:00,,2023-09-30 00:00:00,2023-11-30 00:00:00,,,,982.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
266.0,P,,,,,2022-05-24 00:00:00,2022-07-24 00:00:00,,"16/7/2023
26/9/23",,1476.0,,2023-09-26 00:00:00,2023-03-26 00:00:00,,dr sanjay gupta DRVg,5.5,,,1900-01-21 00:00:00,2023-10-26 00:00:00,2023-12-26 00:00:00,2024-01-26 00:00:00,864.0,39.13333333333333,1174.0,2024-01-26 00:00:00,0.0,,,0.0,2024-01-26 00:00:00,2024-04-26 00:00:00
267.0,p,,,,,2023-07-18 00:00:00,2023-09-18 00:00:00,,,,1056.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
268.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
269.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
270.0,p,2022-06-16 00:00:00,,,,2023-07-03 00:00:00,2023-09-03 00:00:00,,,,1071.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
271.0,P,2022-12-11 00:00:00,,,,2023-05-10 00:00:00,2023-07-10 00:00:00,,2024-01-14 00:00:00,,1125.0,,2024-01-14 00:00:00,2023-11-14 00:00:00,,dr gupta,1.5,,,1900-01-21 00:00:00,2024-06-14 00:00:00,2024-08-14 00:00:00,2024-09-14 00:00:00,632.0,31.4,942.0,2024-09-14 00:00:00,0.0,,,0.0,2024-09-14 00:00:00,2024-12-14 00:00:00
272.0,A,,,2024-03-07 00:00:00,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
273.0,P,2022-06-14 00:00:00,,,,2023-06-13 00:00:00,2023-08-13 00:00:00,,2024-01-14 00:00:00,2024-03-09 00:00:00,1091.0,,2024-01-14 00:00:00,2023-10-14 00:00:00,6.0,"dr gupta
dr sunil",2.5,,,1900-01-21 00:00:00,2024-05-14 00:00:00,2024-07-14 00:00:00,2024-08-14 00:00:00,663.0,32.43333333333333,973.0,2024-08-14 00:00:00,0.0,,,0.0,2024-08-14 00:00:00,2024-11-14 00:00:00
274.0,p,,,,,2023-07-03 00:00:00,2023-09-03 00:00:00,,,,1071.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
275.0,p,2022-12-11 00:00:00,,,,2023-12-08 00:00:00,2024-02-08 00:00:00,,,,913.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
276.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
277.0,p,2022-06-14 00:00:00,,,,2024-01-09 00:00:00,2024-03-09 00:00:00,,,,881.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
278.0,A,,,23/12/21,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
279.0,p,,,,,2024-03-26 00:00:00,2024-05-26 00:00:00,,,,804.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
280.0,A,,,2024-02-23 00:00:00,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
281.0,A,2022-12-11 00:00:00,,2024-03-19 00:00:00,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
282.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
283.0,P,2023-08-22 00:00:00,,,,2023-08-22 00:00:00,2023-10-22 00:00:00,"17/10/2023
4/11/23",2024-03-31 00:00:00,,1021.0,,2024-03-31 00:00:00,2023-10-31 00:00:00,,dr sunil,5,,,1900-01-21 00:00:00,2024-05-31 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,646.0,31.866666666666667,956.0,2024-08-31 00:00:00,0.0,,,0.0,2024-08-31 00:00:00,2024-12-01 00:00:00
284.0,P,,,,,2023-07-17 00:00:00,2023-09-17 00:00:00,,2023-08-17 00:00:00,,1057.0,,2023-12-17 00:00:00,2023-08-17 00:00:00,,,4,,,1900-01-21 00:00:00,2024-03-17 00:00:00,2024-05-17 00:00:00,2024-06-17 00:00:00,721.0,34.36666666666667,1031.0,2024-06-17 00:00:00,0.0,,,0.0,2024-06-17 00:00:00,2024-09-17 00:00:00
285.0,p,,,,,16/2/24,,,,,,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
286.0,p,,,,,2023-09-06 00:00:00,2023-11-06 00:00:00,,,,1006.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
287.0,p,2023-08-22 00:00:00,,,,2023-08-22 00:00:00,2023-10-22 00:00:00,,,,1021.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
288.0,p,,,,,2024-02-06 00:00:00,2024-04-06 00:00:00,,,,853.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
289.0,P,2022-06-12 00:00:00,,,,2022-06-12 00:00:00,2022-08-12 00:00:00,,2023-12-17 00:00:00,,1457.0,,2023-12-17 00:00:00,2023-10-17 00:00:00,,dr sanjay gupta g,2,,,1900-01-21 00:00:00,2024-05-17 00:00:00,2024-07-17 00:00:00,2024-08-17 00:00:00,660.0,32.333333333333336,970.0,2024-08-17 00:00:00,0.0,,,0.0,2024-08-17 00:00:00,2024-11-17 00:00:00
290.0,p,,,,,2024-01-03 00:00:00,2024-03-03 00:00:00,,,,887.0,,,00:00:00,,,,,2024-01-03 00:00:00,2024-01-24 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
